k, n, p, q, poverq, eigenvectors, conductance, rand
16, 1000, 0.01, 0.006, 1.6666666666666667, 16, 0.6964405093568454, 0.9635081614475904
16, 1000, 0.01, 0.007, 1.4285714285714286, 1, 0.9936819788204273, 0.8705956895743483
16, 1000, 0.01, 0.007, 1.4285714285714286, 2, 0.875294064100833, 0.9284504101818865
16, 1000, 0.01, 0.007, 1.4285714285714286, 3, 0.7402533631111825, 0.9981074684355271
16, 1000, 0.01, 0.007, 1.4285714285714286, 4, 0.7395884126087214, 0.9938167572973311
16, 1000, 0.01, 0.007, 1.4285714285714286, 5, 0.7533833337017326, 0.9959799573410841
16, 1000, 0.01, 0.007, 1.4285714285714286, 6, 0.7387451445355021, 0.9990095326270392
16, 1000, 0.01, 0.007, 1.4285714285714286, 7, 0.7380607480298346, 0.9959018118319897
16, 1000, 0.01, 0.007, 1.4285714285714286, 8, 0.7378876938302736, 0.9951852811113195
16, 1000, 0.01, 0.007, 1.4285714285714286, 9, 0.7361850914323096, 0.9933217068254268
16, 1000, 0.01, 0.007, 1.4285714285714286, 10, 0.7291365691912911, 0.9920230897243577
16, 1000, 0.01, 0.007, 1.4285714285714286, 11, 0.7281379870267657, 0.987820816144759
16, 1000, 0.01, 0.007, 1.4285714285714286, 12, 0.7276189073309041, 0.9811223678042378
16, 1000, 0.01, 0.007, 1.4285714285714286, 13, 0.725571067714412, 0.9725697356084757
16, 1000, 0.01, 0.007, 1.4285714285714286, 14, 0.7243303635907703, 0.9697964091505717
16, 1000, 0.01, 0.007, 1.4285714285714286, 15, 0.722697964725461, 0.9675831614475905
16, 1000, 0.01, 0.007, 1.4285714285714286, 16, 0.7202737960363762, 0.9649302792362022
16, 1000, 0.01, 0.008, 1.25, 1, 0.9937851127709013, 0.8721671627914246
16, 1000, 0.01, 0.008, 1.25, 2, 0.884666179103094, 0.9311055690980685
16, 1000, 0.01, 0.008, 1.25, 3, 0.7650249178814127, 0.9984136133508346
16, 1000, 0.01, 0.008, 1.25, 4, 0.7643596045000478, 0.9942309066191637
16, 1000, 0.01, 0.008, 1.25, 5, 0.7649508629176929, 0.9967659072442027
16, 1000, 0.01, 0.008, 1.25, 6, 0.7637070018362297, 0.9989880180011248
16, 1000, 0.01, 0.008, 1.25, 7, 0.762797307694725, 0.995681248828052
16, 1000, 0.01, 0.008, 1.25, 8, 0.7627685044231598, 0.9941321066941683
16, 1000, 0.01, 0.008, 1.25, 9, 0.7596446048903911, 0.9918501078192387
16, 1000, 0.01, 0.008, 1.25, 10, 0.7519689578736317, 0.9900746702918933
16, 1000, 0.01, 0.008, 1.25, 11, 0.7503849578386316, 0.9873571543533972
16, 1000, 0.01, 0.008, 1.25, 12, 0.7497151468738646, 0.9827559019313705
16, 1000, 0.01, 0.008, 1.25, 13, 0.747510256327654, 0.9722005586286642
16, 1000, 0.01, 0.008, 1.25, 14, 0.7478126824588545, 0.9705928628351771
16, 1000, 0.01, 0.008, 1.25, 15, 0.7410480326582478, 0.9655826317269831
16, 1000, 0.01, 0.008, 1.25, 16, 0.7397381591699024, 0.9622969326207889
16, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 1, 0.9907024820447841, 0.8730285470966935
16, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 2, 0.8762092695937682, 0.9390885719419965
